title,link,tags,year,clean_title,file,short_url,clean_short_url
Ice Guardians,/Ice-Guardians-Scott-Parker/dp/B08NKBFRSL/ref=sr_1_1500?qid=1691311495&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1500,2016|CC,2016.0,Ice_Guardians,4104_Ice_Guardians,/Ice-Guardians-Scott-Parker/,/Ice-Guardians-Scott-Parker/
Magnum Opus,/Magnum-Opus-Louise-Griffiths/dp/B075RXD17H/ref=sr_1_1501?qid=1691311495&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1501,2017|TV-MA|CC,2017.0,Magnum_Opus,4105_Magnum_Opus,/Magnum-Opus-Louise-Griffiths/,/Magnum-Opus-Louise-Griffiths/
Early Man,/Early-Man-Eddie-Redmayne/dp/B0CBNT8B4N/ref=sr_1_1502?qid=1691311495&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1502,2018|PG|CC,2018.0,Early_Man,4106_Early_Man,/Early-Man-Eddie-Redmayne/,/Early-Man-Eddie-Redmayne/
Super Size Me 2: Holy Chicken!,/Super-Size-Me-Holy-Chicken/dp/B07X94VFZC/ref=sr_1_1503?qid=1691311495&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1503,2019|PG-13|CC,2019.0,Super_Size_Me_2_Holy_Chicken,4107_Super_Size_Me_2_Holy_Chicken,/Super-Size-Me-Holy-Chicken/,/Super-Size-Me-Holy-Chicken/
Badrinath Ki Dulhania,/Badrinath-Ki-Dulhania-Varun-Dhawan/dp/B095HZ4TG1/ref=sr_1_1504?qid=1691311495&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1504,2017|CC,2017.0,Badrinath_Ki_Dulhania,4108_Badrinath_Ki_Dulhania,/Badrinath-Ki-Dulhania-Varun-Dhawan/,/Badrinath-Ki-Dulhania-Varun-Dhawan/
Nebraska (B&W),/Nebraska-Bruce-Dern/dp/B00HVNZ1DK/ref=sr_1_1505?qid=1691311497&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1505,2014|R|CC,2014.0,Nebraska_BW,4109_Nebraska_BW,/Nebraska-Bruce-Dern/,/Nebraska-Bruce-Dern/
Time Well Spent,/Time-Well-Spent-Kross-Brodersen/dp/B08W1HGBCV/ref=sr_1_1506?qid=1691311497&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1506,2019|CC,2019.0,Time_Well_Spent,4110_Time_Well_Spent,/Time-Well-Spent-Kross-Brodersen/,/Time-Well-Spent-Kross-Brodersen/
DINNER,/DINNER-Kehinde-Bankole/dp/B084KYMD7F/ref=sr_1_1507?qid=1691311497&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1507,2016|CC,2016.0,DINNER,4111_DINNER,/DINNER-Kehinde-Bankole/,/DINNER-Kehinde-Bankole/
Befikre,/Befikre/dp/B095HYC7B4/ref=sr_1_1508?qid=1691311497&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1508,2016|CC,2016.0,Befikre,4112_Befikre,/Befikre/,/Befikre/
Seduced,/Seduced-Elisabeth-R%C3%B6hm/dp/B01MXEWPL5/ref=sr_1_1509?qid=1691311497&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1509,2016|CC,2016.0,Seduced,4113_Seduced,/Seduced-Elisabeth-R%C3%B6hm/,/Seduced-Elisabeth-Rohm/
The Year of Spectacular Men,/Year-Spectacular-Men-Zoey-Deutch/dp/B07DTH6N4X/ref=sr_1_1510?qid=1691311497&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1510,2018|CC,2018.0,The_Year_of_Spectacular_Men,4114_The_Year_of_Spectacular_Men,/Year-Spectacular-Men-Zoey-Deutch/,/Year-Spectacular-Men-Zoey-Deutch/
